phase,epoch,train_loss,val_loss,val_auroc,val_auprc,lr
P1,1,1.2371147015596329,1.0758622804203548,0.7082621082621082,0.22938555396992957,0.0018090169943749475
P1,2,1.169115897557921,0.9972819138217617,0.7860398860398861,0.28133343885566864,0.0013090169943749475
P1,3,1.0926466726775814,1.0334966988176912,0.7615384615384615,0.34414707713437065,0.0006909830056250527
P1,4,1.0832395833576103,0.9430178049448374,0.7901709401709403,0.3462365710527863,0.00019098300562505265
P1,5,1.0739033679110173,0.9399673906532494,0.7913105413105413,0.33504436367579193,0.0
P2,1,1.1824918865126903,1.004900631066915,0.6921652421652422,0.2158988878714227,0.0018090169943749475
P2,2,1.0706865744563276,0.9479599353429433,0.7585470085470086,0.2849846947698274,0.0013090169943749475
P2,3,1.0054338881880132,1.016272428873423,0.7215099715099714,0.2867973072219585,0.0006909830056250527
P2,4,0.9812825284361496,1.048873292433249,0.7212250712250712,0.2927819814569128,0.00019098300562505265
P2,5,0.9733353252026121,1.01989963409063,0.7306267806267807,0.29349921588572603,0.0
P3,1,1.2148031436057187,1.072482112291697,0.6810541310541312,0.16347311799689265,0.0018090169943749475
P3,2,1.0972889196288689,0.8867105229480846,0.8062678062678064,0.36757000581017396,0.0013090169943749475
P3,3,0.97537818284818,0.8239570485579001,0.8445868945868945,0.4957927881816614,0.0006909830056250527
P3,4,0.9399689992497908,0.8363291113763243,0.8207977207977208,0.46511089426035773,0.00019098300562505265
P3,5,0.9041555589145474,0.8277728775063077,0.8269230769230769,0.4819222020520294,0.0
