phase,epoch,train_loss,val_loss,val_auroc,val_auprc,lr
P1,1,1.2076867801655267,0.9957814828769581,0.7743589743589744,0.3303973287449333,0.0019876883405951376
P1,2,1.158685719245449,0.9051176422351116,0.8175213675213675,0.32651052431702876,0.0019510565162951536
P1,3,1.0887342310089199,0.8356358586130915,0.8384615384615385,0.4000479961385485,0.0018910065241883678
P1,4,1.0502776376452156,0.9012444631473439,0.8363247863247862,0.41939216414563846,0.0018090169943749475
P1,5,1.0170428196360124,0.9314271694905049,0.8390313390313391,0.3362965764681972,0.0017071067811865474
P1,6,0.9828123314579901,0.8018768768052797,0.833903133903134,0.39085450868376337,0.0015877852522924731
P1,7,0.968512573915531,0.8020113706588745,0.8367521367521369,0.41328742068260604,0.0014539904997395467
P1,8,0.9497370048283843,0.8212786123559281,0.8311965811965812,0.38859953943016484,0.0013090169943749475
P1,9,0.9423587452781303,0.9198907049926551,0.789031339031339,0.3032316784597979,0.001156434465040231
P1,10,0.9547583060580647,0.8320808797269255,0.8213675213675214,0.4008058201392902,0.001
P1,11,0.939587411001024,0.7740173001547117,0.8376068376068376,0.43572675783915743,0.0008435655349597694
P1,12,0.9353714952036009,0.7936799985331457,0.8431623931623932,0.4651969102727764,0.0006909830056250527
P1,13,0.9227314240994302,0.8718806521312611,0.8219373219373219,0.43653157209616966,0.0005460095002604533
P1,14,0.9290885196982612,0.8220741056107186,0.8277777777777777,0.4550453058647619,0.00041221474770752696
P1,15,0.8981198299171602,0.8068713368596258,0.8337606837606838,0.4676042476035987,0.0002928932188134525
P1,16,0.8783665890308897,0.7935996619430749,0.8373219373219374,0.48338413865280266,0.00019098300562505263
P1,17,0.8888699470748131,0.787969838928532,0.8423076923076923,0.496697598192302,0.00010899347581163219
P1,18,0.8864803501439713,0.7904729440405562,0.8413105413105413,0.48967971275104766,4.894348370484646e-05
P1,19,0.879600525589429,0.7961536017624108,0.8386039886039885,0.48660605858306805,1.231165940486234e-05
P1,20,0.8892853582970347,0.8007842978915652,0.8383190883190883,0.48779543890701615,0.0
P2,1,1.2230269618611513,0.9673255988069482,0.8002849002849003,0.3829507654104024,0.0019876883405951376
P2,2,1.0112125574683593,0.9221083215765051,0.7997150997150997,0.3820760107777837,0.0019510565162951536
P2,3,0.92507866875239,0.8556087951402407,0.8242165242165244,0.4253170089883814,0.0018910065241883678
P2,4,0.8629149823779675,0.8425887331769273,0.8294871794871795,0.44287921556087295,0.0018090169943749475
P2,5,0.8950710674527743,0.8850890752431508,0.8190883190883191,0.49448484906810247,0.0017071067811865474
P2,6,0.8381988617460048,0.9258104917165395,0.822934472934473,0.42252479728362397,0.0015877852522924731
P2,7,0.8262601164988207,0.9386394080278035,0.8319088319088319,0.5197408105296871,0.0014539904997395467
P2,8,0.805145228286985,0.959259957075119,0.8141025641025641,0.46237406531415703,0.0013090169943749475
P2,9,0.7659049247115077,0.9887982155825641,0.7874643874643874,0.5243879137432718,0.001156434465040231
P2,10,0.7802711039867456,0.9548613590163153,0.8274928774928775,0.5375152962698266,0.001
P2,11,0.7400834106918027,0.944602836628218,0.82991452991453,0.5056973321883063,0.0008435655349597694
P2,12,0.7225797236481043,0.9837225731965658,0.8254985754985755,0.4771316782544026,0.0006909830056250527
P2,13,0.7216870200737066,0.98182524056048,0.8290598290598291,0.5447217008432604,0.0005460095002604533
P2,14,0.6895531340359954,1.0496168724588446,0.8156695156695157,0.5057109583933461,0.00041221474770752696
P2,15,0.7300220537254377,0.9969663507229573,0.8202279202279202,0.548985963367596,0.0002928932188134525
P2,16,0.6899178562315466,1.0306858831160777,0.8188034188034188,0.5400421136659262,0.00019098300562505263
P2,17,0.6899836580416655,1.0312804168946035,0.8152421652421653,0.5483739701017204,0.00010899347581163219
P2,18,0.6809706619218722,1.0525117975634497,0.8135327635327635,0.5425645180914306,4.894348370484646e-05
P2,19,0.6621449875728541,1.0471638094734501,0.8142450142450142,0.5440929307556619,1.231165940486234e-05
P2,20,0.6819915375551504,1.0483790450804942,0.8141025641025641,0.5440942495639305,0.0
P3,1,1.19256360077377,0.9677186930501783,0.7915954415954416,0.3636707647736015,0.0019876883405951376
P3,2,1.0668012858811304,0.9689898329812128,0.7652421652421653,0.23359312608453797,0.0019510565162951536
P3,3,1.0324335201329389,0.9410773837888563,0.8066951566951567,0.31242767631024065,0.0018910065241883678
